sitecode,cross_section,date,Wetted_width_m,Baseflow_width_m,Bankfull_width_m,notes
FL_SF2800,T1,10/29/18,NA,48,NA,
FL_SF2800,T2,10/29/18,NA,49,NA,
FL_SF2800,T3,10/29/18,NA,42,NA,
FL_SF2800,T4,10/29/18,NA,46,NA,
FL_SF2800,T5,10/29/18,NA,48,NA,
FL_SF2800,T6,10/30/18,NA,46,NA,
FL_SF2800,T7,10/30/18,NA,46,NA,
FL_SF2800,T8,10/30/18,NA,48,NA,
FL_SF2800,T9,10/30/18,NA,46,NA,
FL_SF2800,T10,10/30/18,NA,46,NA,
FL_WS1500,T1,11/28/18,NA,22,23.8,
FL_WS1500,T2,11/28/18,NA,32,32.4,
FL_WS1500,T3,11/28/18,NA,26,27,
FL_WS1500,T4,11/28/18,NA,22,22.4,
FL_WS1500,T5,11/28/18,NA,14,14.4,
FL_WS1500,T6,11/29/18,NA,20,20.4,
FL_WS1500,T7,10/30/18,NA,16,16.8,
FL_WS1500,T8,10/30/18,NA,8,8.4,above NR confluence
