#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2018-12-11 20:47:55 EST     (sdww01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 02322500 SANTA FE RIVER NEAR FORT WHITE, FLA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,2322500,5,2/4/1927,,Yes,PEH,USGS,1.12,1210,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1210,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,6,7/26/1927,,Yes,PEH,USGS,1.95,1760,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1760,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,7,10/6/1927,,Yes,PEH,USGS,1.1,1180,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1180,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,8,12/21/1927,,Yes,PEH,USGS,0.82,1020,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1020,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,9,2/11/1928,,Yes,WAH,USGS,0.07,900,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,900,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,10,2/15/1928,,Yes,PEH,USGS,0.71,940,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,940,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,11,3/22/1928,,Yes,PEH,USGS,0.84,1000,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1000,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,12,3/28/1928,,Yes,PEH,USGS,0.88,1000,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1000,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,13,4/2/1928,,Yes,PEH,USGS,0.99,1040,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1040,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
