sitecode,GPS_number,Wetted_width_m,Baseflow_width_m,Bankfull_width_m
NC_NHC,100,7.2,13,100
NC_NHC,101,11.6,15.8,65
NC_NHC,102,17,17.3,20.25
NC_NHC,103,9.2,10.87,13.25
NC_NHC,104,9.3,12.4,20.5
NC_NHC,105,7.2,17,18.6
NC_NHC,106,10.5,12.6,14.8
NC_NHC,107,8.5,10.85,17
NC_NHC,108,9,12.4,18.9
NC_NHC,109,12.5,13.25,20.4
NC_NHC,110,10.5,11.5,17.7
NC_UNHC,200,13.9,13.9,15.7
NC_UNHC,201,12.8,13.1,32
NC_UNHC,202,6.15,15.5,40.7
NC_UNHC,203,6.1,11.2,15
NC_UNHC,204,12.7,13.3,16.2
NC_UNHC,205,10.9,11.3,13.3
NC_UNHC,206,10,12.2,35.1
NC_UNHC,207,5.3,6.6,24
NC_UNHC,208,9.4,10.1,12.2
NC_UNHC,209,11.9,13.05,21.3
NC_UNHC,210,12.9,14.4,33.9
NC_ColeMill,600,22.1,22.1,31.3
NC_ColeMill,601,23.3,23.8,27.5
NC_ColeMill,602,34.6,34.7,66.3
NC_ColeMill,603,22.2,22.9,29.05
NC_ColeMill,604,29,29.4,42.6
NC_ColeMill,605,27.1,28,34
NC_ColeMill,606,17.3,18.9,51.4
NC_ColeMill,607,25.52,25.52,27.92
NC_Mud,400,2.87,2.87,11.9
NC_Mud,401,4.5,4.5,6.6
NC_Mud,402,3.8,3.8,7.5
NC_Mud,403,1.8,1.8,6.7
NC_Mud,404,3.93,3.93,10.64
NC_Mud,405,2.7,2.7,4.45
NC_Mud,406,2.6,2.6,7.27
NC_Mud,407,2.77,2.77,4
NC_Stony,300,1.6,2.5,23.4
NC_Stony,301,4.1,4.1,18.4
NC_Stony,302,3.8,3.8,21.8
NC_Stony,303,3.25,3.25,21.8
NC_Stony,304,3.4,4.91,NA
NC_Stony,305,3,4.85,NA
NC_Stony,306,3.4,3.4,8.6
NC_Stony,307,2.5,2.5,11.2
NC_UEno,500,7.7,8.4,10.4
NC_UEno,501,5.4,8.3,10
NC_UEno,502,7.1,8.2,12
NC_UEno,503,7.1,8.2,12
NC_UEno,504,6.9,7.8,10
NC_UEno,505,7.8,10.7,12.3
NC_UEno,506,7.4,8.1,9.6
NC_UEno,507,7.4,8.9,10.2
NC_UEno,508,5.7,7.25,8.9
NC_UEno,509,7.5,7.6,9.1
NC_UEno,510,5.5,7.9,10.1
