Site,Surveyor,Date,Transect_Location,Point_Location,Point_Loc_in,Point_Loc_cm,Depth_cm,Depth_raw_or_ft,Point_depth_m,Width_cm,Left_raw,Right_raw,Discharge_L_s,Velocity_ms,Discharge_EPSCOR_L_s,Stage_cm,Stage_EPSCOR_cm,Stage_ft,Stage_m,Time,Notes,ExperimentNumber,Experiment,ReachLength_m\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,left,0,0,0,,,94,"1, 2 (ft, in)","4, 3 (ft, in)",1.53,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,"1 ft,4 in ",2,5.08,2,2 cm,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,"1,6 (ft, in)",4,10.16,4,4 cm,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,"1,8",6,15.24,1,1,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,"1,10",8,20.32,1,1,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,2,10,25.4,1,1,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,"2,2",12,30.48,4,4,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,"2,4",14,35.56,5,5,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,"2,6",16,40.64,6,6,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,"2, 8",18,45.72,6,6,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,"2, 10",20,50.8,6,6,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,3,22,55.88,0,0,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,"3,2",24,60.96,0,0,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,"3,4",26,66.04,2,2,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,"3,6",28,71.12,2,2,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,50 m from bottom of reach,right,37,93.98,0,,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,left,0,0,0,,,142,"3,3 (ft, in)","7, 11 (ft, in)",,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,"3, 7 (ft, in)",4,10.16,3,3 cm,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,"3, 11",8,20.32,3,3,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,"4, 3",12,30.48,4,4,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,"4, 7",16,40.64,0,0,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,"4, 11",20,50.8,9,9,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,"5, 3",24,60.96,0,0,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,"5, 7",28,71.12,0,0,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,"5, 11",32,81.28,2,2,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,"6,3",36,91.44,9,9,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,"6,7",40,101.6,10,10,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,"6,11",44,111.76,11,11,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,"7,3",48,121.92,11,11,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,"7,7",52,132.08,10,10,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,100 m from bottom of reach,right,56,142.24,0,,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,top of reach,left,0,0,0,,,84,"aa assuming 1,2","aa assuming 4,1",,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,top of reach,"1,5 (ft, in)",3,7.62,4,4 cm,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,top of reach,"1,8",6,15.24,6,6,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,top of reach,"1,11",9,22.86,6,6,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,top of reach,"2,2",12,30.48,6,6,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,top of reach,"2,5",15,38.1,5,5,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,top of reach,"2,8",18,45.72,8,8,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,top of reach,"2,11",21,53.34,8,8,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,top of reach,"3,2",24,60.96,6,6,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,top of reach,"3,5",27,68.58,4,4,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,top of reach,"3,8",30,76.2,6,6,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,5/23/12,top of reach,right,33,83.82,0,,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,middle of reach,left,0,0,0,,,79,2.66 (m),3.45 (m),,,,0.762,,,,,,,,\
BDC,Anna Meyer,6/28/12,middle of reach,2.74 m,,8,6.096,0.2 ft,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,middle of reach,2.83 m ,,17,3.6576,0.12 ft,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,middle of reach,2.91,,25,3.048,0.1,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,middle of reach,3,,34,3.048,0.1,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,middle of reach,3.09,,43,1.524,0.05,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,middle of reach,3.18,,52,3.048,0.1,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,middle of reach,3.27,,61,1.524,0.05,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,middle of reach,3.36,,70,3.048,0.1,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,middle of reach,right,,79,0,,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,bottom of reach,left,0,0,0,,,51,1.72 (m),2.23 m,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,bottom of reach,1.77 m,,5,1.524,< 0.1 ft,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,bottom of reach,1.82,,10,1.524,< 0.1 ft,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,bottom of reach,1.87,,15,1.524,< 0.1 ft,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,bottom of reach,1.92,,20,1.524,< 0.1 ft,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,bottom of reach,1.97,,25,3.048,0.1,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,bottom of reach,2.02,,30,3.048,0.1,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,bottom of reach,2.07,,35,6.096,0.2,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,bottom of reach,2.12,,40,3.048,0.1,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,6/28/12,bottom of reach,right,,51,0,,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,8/6/12,top of reach,left,0,0,0,,,69,164 cm,233 cm,0.02,,,6.096,,,,,,,,\
BDC,Anna Meyer,8/6/12,top of reach,170 cm,,6,1.524,< 0.1 ft,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,8/6/12,top of reach,177,,13,1.524,< 0.1 ft,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,8/6/12,top of reach,183,,19,3.048, 0.1 ft,,,,,,,,,,,,,,,,\
BDC,Anna Meyer,8/6/12,top of reach,189,,25,3.048, 0.1 ft,,,,,,,,,,,,,,,,\
