e.g. NC_MudCreek,YYYY-MM-DD,Meters upstream of logger array (negative for downstream),Transect latitude in decimal degrees,Transect longitude in decimal degrees,The width of the water surface at the time of measurement (meters),The depth at the time of measurement (meters),The velocity at the time of measurement (meters per second),Any notes about the measurement
siteID,date,transect,latitude,longitude,width_m,depth_m,velocity_ms,notes
AZ_OC,2017-11-08,20,,,0,2,,
AZ_OC,2017-11-08,20,,,1,8,,
AZ_OC,2017-11-08,20,,,2,19,,
AZ_OC,2017-11-08,20,,,3,14,,
AZ_OC,2017-11-08,20,,,4,18,,
AZ_OC,2017-11-08,20,,,5,5,,
AZ_OC,2017-11-08,20,,,6,0,,
AZ_OC,2017-11-08,20,,,7,42,,
AZ_OC,2017-11-08,20,,,8,37,,
AZ_OC,2017-11-08,20,,,9,53,,
AZ_OC,2017-11-08,20,,,10,64,,
AZ_OC,2017-11-08,20,,,11,15,,
AZ_OC,2017-11-08,20,,,11.9,2,,
AZ_OC,2017-11-08,40,,,0,1,,
AZ_OC,2017-11-08,40,,,1,17,,
AZ_OC,2017-11-08,40,,,2,13,,
AZ_OC,2017-11-08,40,,,3,28,,
AZ_OC,2017-11-08,40,,,4,25,,
AZ_OC,2017-11-08,40,,,5,29,,
AZ_OC,2017-11-08,40,,,6,20,,
AZ_OC,2017-11-08,40,,,7,45,,
AZ_OC,2017-11-08,40,,,8,27,,
AZ_OC,2017-11-08,40,,,9,35,,
AZ_OC,2017-11-08,40,,,10,41,,
AZ_OC,2017-11-08,40,,,11,45,,
AZ_OC,2017-11-08,40,,,11.3,12,,
AZ_OC,2017-11-08,60,,,0,0,,
AZ_OC,2017-11-08,60,,,1,11,,
AZ_OC,2017-11-08,60,,,2,12,,
AZ_OC,2017-11-08,60,,,3,28,,
AZ_OC,2017-11-08,60,,,4,26,,
AZ_OC,2017-11-08,60,,,5,35,,
AZ_OC,2017-11-08,60,,,6,25,,
AZ_OC,2017-11-08,60,,,7,28,,
AZ_OC,2017-11-08,60,,,8,36,,
AZ_OC,2017-11-08,60,,,9,22,,
AZ_OC,2017-11-08,60,,,10,16,,
AZ_OC,2017-11-08,60,,,10.9,21,,
AZ_OC,2017-11-08,80,,,0,11,,
AZ_OC,2017-11-08,80,,,1,10,,
AZ_OC,2017-11-08,80,,,2,39,,
AZ_OC,2017-11-08,80,,,3,35,,
AZ_OC,2017-11-08,80,,,4,37,,
AZ_OC,2017-11-08,80,,,5,36,,
AZ_OC,2017-11-08,80,,,6,32,,
AZ_OC,2017-11-08,80,,,7,29,,
AZ_OC,2017-11-08,80,,,8,28,,
AZ_OC,2017-11-08,80,,,9,19,,
AZ_OC,2017-11-08,80,,,9.2,13,,
AZ_OC,2017-11-08,100,,,0,3,,
AZ_OC,2017-11-08,100,,,1,34,,
AZ_OC,2017-11-08,100,,,2,54,,
AZ_OC,2017-11-08,100,,,3,62,,
AZ_OC,2017-11-08,100,,,4,54,,
AZ_OC,2017-11-08,100,,,5,37,,
AZ_OC,2017-11-08,100,,,6,35,,
AZ_OC,2017-11-08,100,,,7,48,,
AZ_OC,2017-11-08,100,,,8,27,,
AZ_OC,2017-11-08,100,,,9,30,,
AZ_OC,2017-11-08,100,,,10,15,,
AZ_OC,2017-11-08,100,,,11,21,,
AZ_OC,2017-11-08,100,,,12,1,,
AZ_OC,2017-11-08,100,,,12.3,1,,
AZ_OC,2017-11-08,120,,,3.8,2,,
