e.g. NC_MudCreek,YYYY-MM-DD,Meters upstream of logger array (negative for downstream - ideally there should be 100 measurements per transect),Transect latitude in decimal degrees,Transect longitude in decimal degrees,Length of the intermediate axis of a grain (rock fragment of any size) from the bottom of the channel (millimeters),Any notes about these measurements
siteID,date,transect,latitude,longitude,grain_size_mm,notes
AZ_MV,2018-06-22,1100,,,180+,transect_125
AZ_MV,2018-06-22,1100,,,180,transect_125
AZ_MV,2018-06-22,1100,,,45,transect_125
AZ_MV,2018-06-22,1100,,,11,transect_125
AZ_MV,2018-06-22,1100,,,5.6,transect_125
AZ_MV,2018-06-22,1100,,,90,transect_125
AZ_MV,2018-06-22,1100,,,180+,transect_125
AZ_MV,2018-06-22,1100,,,180,transect_125
AZ_MV,2018-06-22,1100,,,11,transect_125
AZ_MV,2018-06-22,1100,,,128,transect_125
AZ_MV,2018-06-22,1100,,,90,transect_125
AZ_MV,2018-06-22,1100,,,11,transect_125
AZ_MV,2018-06-22,1100,,,180,transect_125
AZ_MV,2018-06-22,1100,,,180+,transect_125
AZ_MV,2018-06-22,1100,,,180,transect_125
AZ_MV,2018-06-22,1100,,,64,transect_125
AZ_MV,2018-06-22,1100,,,64,transect_125
AZ_MV,2018-06-22,1100,,,226,transect_125
AZ_MV,2018-06-22,1100,,,128,transect_125
AZ_MV,2018-06-22,1100,,,2.8,transect_125
AZ_MV,2018-06-22,1100,,,22.6,transect_125
AZ_MV,2018-06-22,1100,,,64,transect_125
AZ_MV,2018-06-22,1100,,,2.8,transect_125
AZ_MV,2018-06-22,1100,,,180,transect_125
AZ_MV,2018-06-22,1100,,,128,transect_125
AZ_MV,2018-06-22,1100,,,32,transect_125
AZ_MV,2018-06-22,1100,,,90,transect_125
AZ_MV,2018-06-22,1100,,,2,transect_125
AZ_MV,2018-06-22,1100,,,128,transect_125
AZ_MV,2018-06-22,1100,,,11,transect_125
AZ_MV,2018-06-22,1100,,,16,transect_125
AZ_MV,2018-06-22,1100,,,180,transect_125
AZ_MV,2018-06-22,1100,,,180,transect_125
AZ_MV,2018-06-22,1100,,,2.8,transect_125
AZ_MV,2018-06-22,1100,,,2,transect_125
AZ_MV,2018-06-22,1100,,,64,transect_125
AZ_MV,2018-06-22,1100,,,64,transect_125
AZ_MV,2018-06-22,1100,,,2,transect_125
AZ_MV,2018-06-22,1100,,,90,transect_125
AZ_MV,2018-06-22,1100,,,64,transect_125
AZ_MV,2018-06-22,1100,,,180+,transect_125
AZ_MV,2018-06-22,990,,,180+,transect_126
AZ_MV,2018-06-22,990,,,180,transect_126
AZ_MV,2018-06-22,990,,,128,transect_126
AZ_MV,2018-06-22,990,,,64,transect_126
AZ_MV,2018-06-22,990,,,180+,transect_126
AZ_MV,2018-06-22,990,,,180,transect_126
AZ_MV,2018-06-22,990,,,180+,transect_126
AZ_MV,2018-06-22,990,,,45,transect_126
AZ_MV,2018-06-22,990,,,180,transect_126
AZ_MV,2018-06-22,990,,,180+,transect_126
AZ_MV,2018-06-22,990,,,128,transect_126
AZ_MV,2018-06-22,990,,,128,transect_126
AZ_MV,2018-06-22,990,,,45,transect_126
AZ_MV,2018-06-22,990,,,90,transect_126
AZ_MV,2018-06-22,990,,,90,transect_126
AZ_MV,2018-06-22,990,,,90,transect_126
AZ_MV,2018-06-22,990,,,16,transect_126
AZ_MV,2018-06-22,990,,,180,transect_126
AZ_MV,2018-06-22,990,,,180+,transect_126
AZ_MV,2018-06-22,990,,,90,transect_126
AZ_MV,2018-06-22,990,,,180+,transect_126
AZ_MV,2018-06-22,990,,,64,transect_126
AZ_MV,2018-06-22,990,,,128,transect_126
AZ_MV,2018-06-22,990,,,180,transect_126
AZ_MV,2018-06-22,990,,,22.6,transect_126
AZ_MV,2018-06-22,990,,,180+,transect_126
AZ_MV,2018-06-22,990,,,180,transect_126
AZ_MV,2018-06-22,990,,,128,transect_126
AZ_MV,2018-06-22,990,,,180+,transect_126
AZ_MV,2018-06-22,990,,,90,transect_126
AZ_MV,2018-06-22,990,,,90,transect_126
AZ_MV,2018-06-22,990,,,180+,transect_126
AZ_MV,2018-06-22,990,,,180+,transect_126
AZ_MV,2018-06-22,990,,,90,transect_126
AZ_MV,2018-06-22,990,,,128,transect_126
AZ_MV,2018-06-22,990,,,180,transect_126
AZ_MV,2018-06-22,990,,,90,transect_126
AZ_MV,2018-06-22,990,,,128,transect_126
AZ_MV,2018-06-22,990,,,180+,transect_126
AZ_MV,2018-06-22,990,,,90,transect_126
AZ_MV,2018-06-22,990,,,128,transect_126
