e.g. NC_MudCreek,YYYY-MM-DD,Meters upstream of logger array (negative for downstream),Transect latitude in decimal degrees,Transect longitude in decimal degrees,The width of the water surface at the time of measurement (meters),The depth at the time of measurement (meters),The velocity at the time of measurement (meters per second),Any notes about the measurement
siteID,date,transect,latitude,longitude,width_m,depth_m,velocity_ms,notes
NC_NHC,2018-07-21,0,35.9798823,-79.002313,0,0.4,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,0.5,0.03,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,1,0.87,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,1.5,0.77,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,2,0.94,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,2.5,0.93,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,3,0.81,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,3.5,0.53,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,4,0.44,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,4.5,0.52,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,5,0.6,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,5.5,0.19,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,6,0.46,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,6.5,0.37,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,7,0,,
NC_NHC,2018-07-21,0,35.9798823,-79.002313,7.2,0.03,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,0,0,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,0.75,0.09,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,1.5,0.1,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,2.25,0.12,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,3,0.17,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,3.75,0,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,4.5,0.08,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,5.25,0.05,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,6,0.14,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,6.75,0.15,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,7.5,0.11,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,8.25,0.23,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,9,0.26,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,9.75,0.22,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,10.5,0.13,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,11.25,0.02,,
NC_NHC,2018-07-21,50,35.9802975,-79.0019961,11.6,0,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,0,0,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,1,0.06,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,2,0.05,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,3,0.14,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,4,0.19,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,5,0.1,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,6,0.12,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,7,0.07,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,8,0.07,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,9,0,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,10,0,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,11,0,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,12,0,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,13,0,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,14,0,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,15,0,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,16,0.09,,
NC_NHC,2018-07-21,100,35.9806426,-79.0025206,17,0,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,0,0,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,0.5,0.084,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,1,0.104,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,1.5,0.122,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,2,0.163,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,2.5,0.274,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,3,0.399,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,3.5,0.508,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,4,0.582,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,4.5,0.711,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,5,0.808,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,5.5,0.925,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,6,0.942,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,6.5,0.95,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,7,0.98,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,7.5,1.024,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,8,1.057,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,8.5,0.98,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,9,0.902,,
NC_NHC,2018-07-21,150,35.9802514,-79.0035015,9.2,0,,
