"","sitecode","width_m","width_src","usgs_gagename"
"1","AZ_LV",19.9644,"NWIS field measurements","nwis_09511300"
"2","AZ_OC",19.76628,"NWIS field measurements","nwis_09504420"
"3","AZ_WB",9.144,"NWIS field measurements","nwis_09505200"
"4","FL_SF2500",48.768,"NWIS field measurements","nwis_02322500"
"5","FL_SF2800",59.1312,"NWIS field measurements","nwis_02322800"
"6","FL_WS1500",36.576,"NWIS field measurements","nwis_02321500"
"7","MD_DRKR",6.7056,"NWIS field measurements","nwis_01589330"
"8","NC_NHC",9.3,"StreamPULSE estimates",NA
"9","NC_UNHC",10.9,"StreamPULSE estimates",NA
"10","NH_DCF",2.4635,"StreamPULSE estimates",NA
"11","nwis_01184000",324.612,"NWIS field measurements","nwis_01184000"
"12","nwis_01388000",26.76144,"NWIS field measurements","nwis_01388000"
"13","nwis_01400500",53.6448,"NWIS field measurements","nwis_01400500"
"14","nwis_01408500",16.64208,"NWIS field measurements","nwis_01408500"
"15","nwis_01463500",350.52,"NWIS field measurements","nwis_01463500"
"16","nwis_01480617",25.2984,"NWIS field measurements","nwis_01480617"
"17","nwis_01480870",18.4404,"NWIS field measurements","nwis_01480870"
"18","nwis_01481000",27.78252,"NWIS field measurements","nwis_01481000"
"19","nwis_01481500",34.7472,"NWIS field measurements","nwis_01481500"
"20","nwis_01484525",20.4216,"NWIS field measurements","nwis_01484525"
"21","nwis_01493112",5.09016,"NWIS field measurements","nwis_01493112"
"22","nwis_01567000",166.5732,"NWIS field measurements","nwis_01567000"
"23","nwis_01570500",984.504,"NWIS field measurements","nwis_01570500"
"24","nwis_01608500",64.3128,"NWIS field measurements","nwis_01608500"
"25","nwis_01611500",45.1104,"NWIS field measurements","nwis_01611500"
"26","nwis_01632900",12.3444,"NWIS field measurements","nwis_01632900"
"27","nwis_01645704",4.0386,"NWIS field measurements","nwis_01645704"
"28","nwis_01645762",4.23672,"NWIS field measurements","nwis_01645762"
"29","nwis_01646000",14.6304,"NWIS field measurements","nwis_01646000"
"30","nwis_01646305",2.80416,"NWIS field measurements","nwis_01646305"
"31","nwis_01648010",13.16736,"NWIS field measurements","nwis_01648010"
"32","nwis_01649190",5.4864,"NWIS field measurements","nwis_01649190"
"33","nwis_01649500",19.90344,"NWIS field measurements","nwis_01649500"
"34","nwis_01650800",7.04088,"NWIS field measurements","nwis_01650800"
"35","nwis_0165389205",8.8392,"NWIS field measurements","nwis_0165389205"
"36","nwis_01654000",7.4676,"NWIS field measurements","nwis_01654000"
"37","nwis_01654500",3.6576,"NWIS field measurements","nwis_01654500"
"38","nwis_01658000",15.0876,"NWIS field measurements","nwis_01658000"
"39","nwis_0166818623",5.4864,"NWIS field measurements","nwis_0166818623"
