"sitecode","width_src","usgs_gagename","width_m"
"nwis_01104430","NWIS field measurements","nwis_01104430",3.6576
"nwis_01124000","NWIS field measurements","nwis_01124000",19.05
"nwis_01125100","NWIS field measurements","nwis_01125100",17.526
"nwis_01184000","NWIS field measurements","nwis_01184000",324.612
"nwis_01193050","NWIS field measurements","nwis_01193050",310.896
"nwis_01196500","NWIS field measurements","nwis_01196500",13.2588
"nwis_01201487","NWIS field measurements","nwis_01201487",16.3068
"nwis_01208500","NWIS field measurements","nwis_01208500",21.80844
"nwis_01208990","NWIS field measurements","nwis_01208990",5.01396
"nwis_01382210","NWIS field measurements","nwis_01382210",9.144
"nwis_01388000","NWIS field measurements","nwis_01388000",26.76144
"nwis_01400500","NWIS field measurements","nwis_01400500",53.6448
"nwis_01408500","NWIS field measurements","nwis_01408500",16.64208
"nwis_01433500","NWIS field measurements","nwis_01433500",19.08048
"nwis_01454700","NWIS field measurements","nwis_01454700",81.6864
"nwis_01463500","NWIS field measurements","nwis_01463500",350.52
"nwis_01473500","NWIS field measurements","nwis_01473500",224.6376
"nwis_01474500","NWIS field measurements","nwis_01474500",148.1328
"nwis_01480617","NWIS field measurements","nwis_01480617",25.2984
"nwis_01480870","NWIS field measurements","nwis_01480870",18.4404
"nwis_01481000","NWIS field measurements","nwis_01481000",27.78252
"nwis_01481500","NWIS field measurements","nwis_01481500",34.7472
"nwis_01484525","NWIS field measurements","nwis_01484525",20.4216
"nwis_01487150","NWIS field measurements","nwis_01487150",4.7244
"nwis_01493112","NWIS field measurements","nwis_01493112",5.09016
"nwis_01540500","NWIS field measurements","nwis_01540500",359.664
"nwis_01542500","NWIS field measurements","nwis_01542500",130.4544
"nwis_01544500","NWIS field measurements","nwis_01544500",27.2796
"nwis_01548303","NWIS field measurements","nwis_01548303",4.572
"nwis_01549700","NWIS field measurements","nwis_01549700",118.4148
"nwis_01567000","NWIS field measurements","nwis_01567000",166.5732
"nwis_01570500","NWIS field measurements","nwis_01570500",984.504
"nwis_01608500","NWIS field measurements","nwis_01608500",64.3128
"nwis_01611500","NWIS field measurements","nwis_01611500",45.1104
"nwis_01632900","NWIS field measurements","nwis_01632900",12.3444
"nwis_01645704","NWIS field measurements","nwis_01645704",4.0386
"nwis_01645762","NWIS field measurements","nwis_01645762",4.23672
"nwis_01646000","NWIS field measurements","nwis_01646000",14.6304
"nwis_01646305","NWIS field measurements","nwis_01646305",2.80416
"nwis_01646500","NWIS field measurements","nwis_01646500",428.244
"nwis_01648010","NWIS field measurements","nwis_01648010",13.16736
"nwis_01649190","NWIS field measurements","nwis_01649190",5.4864
"nwis_01649500","NWIS field measurements","nwis_01649500",19.90344
"nwis_01650800","NWIS field measurements","nwis_01650800",7.04088
"nwis_0165389205","NWIS field measurements","nwis_0165389205",8.8392
"nwis_01654000","NWIS field measurements","nwis_01654000",7.4676
"nwis_01654500","NWIS field measurements","nwis_01654500",3.6576
"nwis_01656903","NWIS field measurements","nwis_01656903",4.93776
"nwis_01658000","NWIS field measurements","nwis_01658000",15.0876
"nwis_0166818623","NWIS field measurements","nwis_0166818623",5.4864
"nwis_0166818985","NWIS field measurements","nwis_0166818985",6.15696
