"sitecode","usgs_gagename","comid_old","comid_new","vpuid","ws_area_km2","ws_area_src","width_m","width_src"
"nwis_01104430","nwis_01104430",5866423,5866423,"01",18.0225,"NHDV2_vaa",3.6576,"NWIS field measurements"
"nwis_01124000","nwis_01124000",6144833,6144833,"01",392.517,"NHDV2_vaa",19.431,"NWIS field measurements"
"nwis_01125100","nwis_01125100",6148379,6148379,"01",264.645,"NHDV2_vaa",18.5928,"NWIS field measurements"
"nwis_01184000","nwis_01184000",7699970,7700898,"01",25008.6483,"NHDV2_vaa",324.612,"NWIS field measurements"
"nwis_01193050","nwis_01193050",7701224,7701224,"01",28210.8825,"NHDV2_vaa",313.944,"NWIS field measurements"
"nwis_01196500","nwis_01196500",6177036,6177036,"01",288.837,"NHDV2_vaa",13.2588,"NWIS field measurements"
"nwis_01201487","nwis_01201487",7716694,7716694,"01",165.0096,"NHDV2_vaa",16.3068,"NWIS field measurements"
"nwis_01208500","nwis_01208500",7718060,7718060,"01",674.0073,"NHDV2_vaa",21.67128,"NWIS field measurements"
"nwis_01208990","nwis_01208990",7731665,7731665,"01",53.649,"NHDV2_vaa",5.5626,"NWIS field measurements"
"nwis_01382210","nwis_01382210",6246352,6246352,"02",70.2063,"NHDV2_vaa",9.144,"NWIS field measurements"
"nwis_01388000","nwis_01388000",6250614,6250614,"02",415.683,"NHDV2_vaa",26.76144,"NWIS field measurements"
"nwis_01400500","nwis_01400500",9513852,9513852,"02",1274.0643,"NHDV2_vaa",53.6448,"NWIS field measurements"
"nwis_01408500","nwis_01408500",9453743,9453743,"02",330.8598,"NHDV2_vaa",16.77924,"NWIS field measurements"
"nwis_01433500","nwis_01433500",4150156,4150156,"02",523.908,"NHDV2_vaa",18.04416,"NWIS field measurements"
"nwis_01454700","nwis_01454700",4188251,4188251,"02",3526.7337,"NHDV2_vaa",88.6968,"NWIS field measurements"
"nwis_01463500","nwis_01463500",2590277,2590277,"02",17573.6097,"NHDV2_vaa",350.52,"NWIS field measurements"
"nwis_01473500","nwis_01473500",4782501,4782501,"02",4566.5811,"NHDV2_vaa",225.7044,"NWIS field measurements"
"nwis_01474500","nwis_01474500",4784831,4784831,"02",4888.8459,"NHDV2_vaa",147.828,"NWIS field measurements"
"nwis_01480617","nwis_01480617",4650580,4650580,"02",143.2746,"NHDV2_vaa",25.2984,"NWIS field measurements"
"nwis_01480870","nwis_01480870",4650548,4650548,"02",232.6617,"NHDV2_vaa",18.5166,"NWIS field measurements"
"nwis_01481000","nwis_01481000",4652046,4652046,"02",746.2791,"NHDV2_vaa",29.29128,"NWIS field measurements"
"nwis_01481500","nwis_01481500",4655440,4655440,"02",824.9895,"NHDV2_vaa",34.7472,"NWIS field measurements"
"nwis_01484525","nwis_01484525",8407597,8407597,"02",161.6238,"NHDV2_vaa",20.4216,"NWIS field measurements"
"nwis_01487150","nwis_01487150",8391556,8391556,"02",7.7112,"NHDV2_vaa",4.81584,"NWIS field measurements"
"nwis_01493112","nwis_01493112",4765418,4765418,"02",17.8344,"NHDV2_vaa",5.09016,"NWIS field measurements"
"nwis_01540500","nwis_01540500",2604975,2604977,"02",29083.5801,"NHDV2_vaa",359.664,"NWIS field measurements"
"nwis_01542500","nwis_01542500",4672391,4672391,"02",3790.602,"NHDV2_vaa",130.4544,"NWIS field measurements"
"nwis_01544500","nwis_01544500",8134650,8134650,"02",363.0384,"NHDV2_vaa",27.2796,"NWIS field measurements"
"nwis_01548303","nwis_01548303",8143294,8143294,"02",18.6858,"NHDV2_vaa",4.572,"NWIS field measurements"
"nwis_01549700","nwis_01549700",8145248,8145248,"02",2460.357,"NHDV2_vaa",118.4148,"NWIS field measurements"
"nwis_01567000","nwis_01567000",4699925,4699925,"02",8681.31,"NHDV2_vaa",166.5732,"NWIS field measurements"
"nwis_01570500","nwis_01570500",4710000,4710000,"02",62361.1179,"NHDV2_vaa",984.504,"NWIS field measurements"
"nwis_01608500","nwis_01608500",8420360,8420360,"02",3793.6683,"NHDV2_vaa",64.3128,"NWIS field measurements"
"nwis_01611500","nwis_01611500",8431736,8431736,"02",1749.267,"NHDV2_vaa",45.1104,"NWIS field measurements"
"nwis_01632900","nwis_01632900",8441303,8441303,"02",245.9511,"NHDV2_vaa",12.3444,"NWIS field measurements"
"nwis_01645704","nwis_01645704",4509120,4509120,"02",14.6538,"NHDV2_vaa",4.0386,"NWIS field measurements"
"nwis_01645762","nwis_01645762",4509040,4509040,"02",7.1937,"NHDV2_vaa",4.23672,"NWIS field measurements"
"nwis_01646000","nwis_01646000",4509202,4509202,"02",150.8202,"NHDV2_vaa",14.6304,"NWIS field measurements"
"nwis_01646305","nwis_01646305",4508904,4508904,"02",6.9642,"NHDV2_vaa",2.80416,"NWIS field measurements"
"nwis_01646500","nwis_01646500",4512772,4512772,"02",29947.1013,"NHDV2_vaa",417.576,"NWIS field measurements"
"nwis_01648010","nwis_01648010",22338431,22338431,"02",171.4914,"NHDV2_vaa",13.16736,"NWIS field measurements"
"nwis_01649190","nwis_01649190",22336379,22336379,"02",33.9651,"NHDV2_vaa",5.4864,"NWIS field measurements"
"nwis_01649500","nwis_01649500",22337975,22337975,"02",194.3361,"NHDV2_vaa",19.90344,"NWIS field measurements"
"nwis_01650800","nwis_01650800",22338427,22338427,"02",19.1439,"NHDV2_vaa",7.04088,"NWIS field measurements"
"nwis_0165389205","nwis_0165389205",22338713,22338713,"02",10.4121,"NHDV2_vaa",8.8392,"NWIS field measurements"
"nwis_01654000","nwis_01654000",22340331,22340331,"02",62.2764,"NHDV2_vaa",7.4676,"NWIS field measurements"
"nwis_01654500","nwis_01654500",22340329,22340329,"02",9.9162,"NHDV2_vaa",3.6576,"NWIS field measurements"
"nwis_01656903","nwis_01656903",22338645,22338645,"02",10.3041,"NHDV2_vaa",4.93776,"NWIS field measurements"
"nwis_01658000","nwis_01658000",4529099,4529099,"02",143.4942,"NHDV2_vaa",15.0876,"NWIS field measurements"
"nwis_0166818623","nwis_0166818623",8476452,8476452,"02",37.4094,"NHDV2_vaa",5.4864,"NWIS field measurements"
"nwis_0166818985","nwis_0166818985",8476832,8476832,"02",79.5483,"NHDV2_vaa",6.15696,"NWIS field measurements"
"nwis_01673000","nwis_01673000",8506380,8506380,"02",2793.7836,"NHDV2_vaa",43.8912,"NWIS field measurements"
"nwis_02035000","nwis_02035000",8575903,8575903,"02",16195.0401,"NHDV2_vaa",191.5668,"NWIS field measurements"
"nwis_02101726","nwis_02101726",8869974,8869974,"03N",180.0468,"NHDV2_vaa",9.63168,"NWIS field measurements"
"nwis_02110400","nwis_02110400",9069012,9069012,"03N",131.8824,"NHDV2_vaa",13.76172,"NWIS field measurements"
"nwis_02110500","nwis_02110500",9069040,9069040,"03N",2913.2001,"NHDV2_vaa",29.90088,"NWIS field measurements"
"nwis_02110550","nwis_02110550",9069104,9069104,"03N",3263.1192,"NHDV2_vaa",44.196,"NWIS field measurements"
