"sitecode","comid_old","comid_new","vpuid","totdasqkm_comidnew","ws_area_km2","ws_area_src"
"nwis_01104430",5866423,5866423,"01",18.0225,18.0225,"NHDV2_vaa"
"nwis_01124000",6144833,6144833,"01",392.517,392.517,"NHDV2_vaa"
"nwis_01125100",6148379,6148379,"01",264.645,264.645,"NHDV2_vaa"
"nwis_01184000",7699970,7700898,"01",25008.6483,25008.6483,"NHDV2_vaa"
"nwis_01193050",7701224,7701224,"01",28210.8825,28210.8825,"NHDV2_vaa"
"nwis_01196500",6177036,6177036,"01",288.837,288.837,"NHDV2_vaa"
"nwis_01201487",7716694,7716694,"01",165.0096,165.0096,"NHDV2_vaa"
"nwis_01208500",7718060,7718060,"01",674.0073,674.0073,"NHDV2_vaa"
"nwis_01208990",7731665,7731665,"01",53.649,53.649,"NHDV2_vaa"
"nwis_01382210",6246352,6246352,"02",70.2063,70.2063,"NHDV2_vaa"
"nwis_01388000",6250614,6250614,"02",415.683,415.683,"NHDV2_vaa"
"nwis_01400500",9513852,9513852,"02",1274.0643,1274.0643,"NHDV2_vaa"
"nwis_01408500",9453743,9453743,"02",330.8598,330.8598,"NHDV2_vaa"
"nwis_01433500",4150156,4150156,"02",523.908,523.908,"NHDV2_vaa"
"nwis_01454700",4188251,4188251,"02",3526.7337,3526.7337,"NHDV2_vaa"
"nwis_01463500",2590277,2590277,"02",17573.6097,17573.6097,"NHDV2_vaa"
"nwis_01473500",4782501,4782501,"02",4566.5811,4566.5811,"NHDV2_vaa"
"nwis_01474500",4784831,4784831,"02",4888.8459,4888.8459,"NHDV2_vaa"
"nwis_01480617",4650580,4650580,"02",143.2746,143.2746,"NHDV2_vaa"
"nwis_01480870",4650548,4650548,"02",232.6617,232.6617,"NHDV2_vaa"
"nwis_01481000",4652046,4652046,"02",746.2791,746.2791,"NHDV2_vaa"
"nwis_01481500",4655440,4655440,"02",824.9895,824.9895,"NHDV2_vaa"
"nwis_01484525",8407597,8407597,"02",161.6238,161.6238,"NHDV2_vaa"
"nwis_01487150",8391556,8391556,"02",7.7112,7.7112,"NHDV2_vaa"
